"type","non0Terms","thresholds","n.covariates","auc","auc.min","auc.max","lamdba"
"E","status.at.transmission.sourcechronic+riskmsm","0.5,0.5",2,0.65,0.547,0.754,0.008
"S","min.n.hap.catlow+hap.n.diff","0.5,0.5",2,0.871,0.799,0.944,0.025
"G","alignment.length+nuc.div+pFr1.catsingle","0.5,0.5",3,0.858,0.749,0.966,0.016
"P","topologyPM+MinRootToTip+PD.UEH+identitiesrecipient+identitiessource+min.inter.TBL","0.5,0.5",6,0.962,0.929,0.994,0.006
"ES","status.at.transmission.sourcechronic+riskmsm+min.n.hap.catlow+hap.n.diff","0.5,0.5",4,0.883,0.812,0.954,0.016
"EG","status.at.transmission.sourcechronic+alignment.length+nuc.div+pFr1.catsingle","0.5,0.5",4,0.858,0.749,0.966,0.02
"EP","riskmsm+topologyPM+MinRootToTip+PD.UEH+identitiesrecipient+identitiessource+min.inter.TBL","0.5,0.5",7,0.962,0.929,0.995,0.006
"SG","min.n.hap.catlow+hap.n.diff+alignment.length+nuc.div+pFr1.catsingle","0.5,0.5",5,0.926,0.874,0.979,0.02
"SP","min.n.hap.catlow+hap.n.diff+topologyPM+topologyPP+MinRootToTip+PD.UEH+identitiesrecipient","0.5,0.5",7,0.986,0.967,1,0.006
"GP","alignment.length+topologyPM+MinRootToTip+PD.UEH+identitiesrecipient+identitiessource","0.5,0.5",6,0.966,0.936,0.996,0.013
"ESG","status.at.transmission.sourcechronic+min.n.hap.catlow+hap.n.diff+alignment.length+nuc.div+pFr1.catsingle","0.5,0.5",6,0.927,0.874,0.98,0.02
"ESP","status.at.transmission.sourcechronic+riskmsm+min.n.hap.catlow+hap.n.diff+topologyPM+topologyPP+MinRootToTip+PD.UEH+identitiesrecipient","0.5,0.5",9,0.986,0.967,1,0.008
"SGP","min.n.hap.catlow+hap.n.diff+alignment.length+topologyPM+MinRootToTip+PD.UEH+identitiesrecipient","0.5,0.5",7,0.984,0.964,1,0.016
"ESGP","status.at.transmission.sourcechronic+min.n.hap.catlow+hap.n.diff+alignment.length+topologyPM+MinRootToTip+PD.UEH+identitiesrecipient","0.5,0.5",8,0.988,0.97,1,0.013
